"BFMD","19-Nov-2019","1830","1998","1830","1997","0"
"BFME","19-Nov-2019","132","140","132","140","0"
"BFMF","19-Nov-2019","122","126","122","125","0"
"BFMG","19-Nov-2019","13","15","13","15","0"
"BFMM","19-Nov-2019","99.98","99.99","99.97","99.98","0"
"BFMU","19-Nov-2019","62","79","62","79","0"
"BGMA","19-Nov-2019","1775","1916","1775","1916","0"
"BGMC","19-Nov-2019","99.91","99.93","99.87","99.87","0"
"BGMD","19-Nov-2019","1753","1920","1753","1919","0"
"BGME","19-Nov-2019","123","128","123","128","0"
"BGMF","19-Nov-2019","133","140","133","140","0"
"BGMG","19-Nov-2019","11","12","11","11","0"
"BGMM","19-Nov-2019","100.04","100.04","100.02","100.03","0"
"BGMU","19-Nov-2019","73","101","73","101","0"
"BKX","19-Nov-2019","108.88","109.24","108.3","108.68","0"
"BWH","19-Nov-2019","188.81","191.68","188.26","190.48","0"
"BXD","19-Nov-2019","356.58","356.62","355.29","355.54","0"
"BXM","19-Nov-2019","1495.05","1495.05","1491.42","1492.94","0"
"BXN","19-Nov-2019","683.53","683.53","681.61","682.84","0"
"CASH","19-Nov-2019","1","1","1","1","0"
"CEX","19-Nov-2019","644.73","647.07","639.76","640.97","0"
"COMP","19-Nov-2019","8578.02","8589.76","8536.73","8570.66","0"
"CPR","19-Nov-2019","2.62","2.66","2.62","2.66","71642"
"CYM","19-Nov-2019","22.9","22.96","22.77","22.83","0"
"DCFD","19-Nov-2019","58.46","61.53","44.61","49.23","0"
"DCFI","19-Nov-2019","64.61","64.61","61.53","61.53","0"
"DCOF","19-Nov-2019","63.07","64.61","61.53","63.07","0"
"DCOH","19-Nov-2019","67.69","69.23","64.61","66.15","0"
"DCSE","19-Nov-2019","34096.93","34142.95","33556.05","33765.07","0"
"DCTH","19-Nov-2019","67.69","67.69","64.61","67.69","0"
"DCTW","19-Nov-2019","60","63.07","53.84","56.92","0"
"DDA","19-Nov-2019","13.41","15.68","10.8","13.23","0"
"DDB","19-Nov-2019","12.47","12.74","9.64","12.4","0"
"DECA","19-Nov-2019","67","104","67","102","44977000"
"DECC","19-Nov-2019","64","132","64","130","27360200"
"DECE","19-Nov-2019","414","1049","414","1049","601891100"
"DECN","19-Nov-2019","745","1116","745","993","2050963000"
"DECQ","19-Nov-2019","745","1098","745","1000","846214800"
"DECS","19-Nov-2019","368","764","368","762","153151800"
"DECT","19-Nov-2019","1557","2260","1557","2095","2942154000"
"DECU","19-Nov-2019","704","2204","704","2186","1753911000"
"DECV","19-Nov-2019","144","372","144","365","37591400"
"DECX","19-Nov-2019","576","1260","576","1257","218103400"
"DIFD","19-Nov-2019","66.66","73.33","50","56.66","0"
"DIFI","19-Nov-2019","70","70","66.66","66.66","0"
"DIOF","19-Nov-2019","70","70","70","70","0"
"DIOH","19-Nov-2019","73.33","76.66","73.33","73.33","0"
"DITH","19-Nov-2019","73.33","73.33","66.66","70","0"
"DITW","19-Nov-2019","73.33","76.66","63.33","70","0"
"DIVQ","19-Nov-2019","2953.21","2954.28","2935.49","2940.79","0"
"DJC","19-Nov-2019","9242.46","9245.07","9191.87","9202.94","362610500"
"DJEC","19-Nov-2019","1147.03","1150.88","1139.67","1146.62","0"
"DJI","19-Nov-2019","28079.76","28090.21","27894.52","27934.02","256618100"
"DJT","19-Nov-2019","10908.6","10919.9","10811.95","10847.63","36071300"
"DJU","19-Nov-2019","847.6","852.53","844.29","848.31","69921000"
"DJWO","19-Nov-2019","419.05","420.31","418.73","419.46","0"
"DJX","19-Nov-2019","280.8","280.9","278.95","279.34","0"
"DLTC","19-Nov-2019","2143.18","2143.18","2127.59","2134.05","0"
"DOWE","19-Nov-2019","1707.14","1722.44","1704.98","1708.24","0"
"DRCI","19-Nov-2019","296.56","297.28","295.67","296.58","0"
"DREI","19-Nov-2019","406.82","407.89","405.57","406.89","0"
"DSAE","19-Nov-2019","1689.24","1689.85","1669.53","1672.77","24223200"
"DSAF","19-Nov-2019","984.21","987.71","966.77","968.26","6108400"
"DSAG","19-Nov-2019","199.7","200.33","198.94","199.51","16981700"
